id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
446,carry,446,★★★★★,verb,運ぶ,to move something from one place to another,Could you help me carry this heavy cardboard box up to the bedroom?,この重い段ボール箱を寝室まで運ぶのを手伝ってくれる？,Always carry a reusable water bottle when going for a long walk.,長時間の散歩に出かける時はマイ水筒をいつも持ち歩こうね。,The gentle breeze would carry the sweet scent of blooming jasmine.,心地よいそよ風が咲き誇るジャスミンの甘い香りを運んでくれたよ。
447,choose,447,★★★★★,verb,選ぶ,to decide that a particular person or thing is the one that you want,Take your time to choose whichever dessert looks most delicious to you.,どれでも一番美味しそうに見えるデザートをじっくり選んでいいよ。,It was difficult to choose between the cozy cabin and the seaside inn.,落ち着く山小屋と海辺の宿のどちらを選ぶかとても迷ったよ。,Always choose kindness and patience when interacting with loved ones.,大切な人と接する時は、いつも優しさと忍耐を選ぶようにしよう。
448,father,448,★★★★★,noun,父親,a male parent,My father taught me how to grow organic tomatoes when I was a child.,子どもの頃、父は私に有機トマトの育て方を教えてくれた。,We sent a handwritten card and gourmet coffee for Father's Day.,私たちは父の日に手書きのカードと高級コーヒーを贈ったよ。,"He is a loving, patient, and devoted father to his two daughters.",彼は2人の娘にとって愛情深く忍耐強く献身的な父親だ。
449,decision,449,★★★★★,noun,決断,a choice that you make about something after thinking about it,Moving to this quiet seaside neighborhood was the best decision we made.,この静かな海辺の近所に引っ越してきたことは私たちが下した最高の決断だった。,Take plenty of time to weigh your options before making a final decision.,最終的な決断を下す前に、選択肢を比較検討する時間をたっぷりとろう。,She made a firm decision to practice conversational Italian every day.,彼女は毎日イタリア語会話を練習するという固い決心を下したよ。
450,table,450,★★★★★,noun,テーブル,a piece of furniture with a flat top and legs,Could you help me set the dining table with plates and cloth napkins?,お皿とナプキンを並べて食卓のセッティングを手伝ってくれる？,We gathered around the sturdy wooden table to play a lively board game.,私たちは賑やかなボードゲームをするために頑丈な木製テーブルを囲んだ。,There was a fresh bouquet of yellow sunflowers sitting on the coffee table.,コーヒーテーブルの上に黄色いひまわりの摘みたての花束が置かれていた。
451,certain,451,★★★★★,adjective,確かな,not having any doubt about something,I am certain that tomorrow's sunny weather will be perfect for a picnic.,明日の晴天がピクニックにうってつけになると確信しているよ。,There are certain types of tea that help you relax deeply before bed.,寝る前に深くリラックスさせてくれる特定の種類のハーブティーがあるよ。,Are you certain you packed the car keys in your jacket pocket?,ジャケットのポケットに車の鍵を入れたこと、本当に確か？
452,forward,452,★★★★★,adverb,前方の,toward the front : to or toward what is ahead or in front,I'm really looking forward to our weekend trip to the hot springs.,週末の温泉旅行を本当に楽しみに（心待ちに）しているんだ。,Please take one step forward so I can snap a photo with the flowers.,お花と一緒に写真を撮るから、一歩前に進んでくれる？,"Always keep moving forward, even when life feels challenging.",人生が大変に感じられる時でも、常に前を向いて進み続けよう。
453,main,453,★★★★★,adjective,主要な,most important,The main reason I love this cozy apartment is the sunny balcony.,この落ち着くアパートが大好きな主な理由は日当たりの良いベランダだよ。,Our town's main street is filled with charming cafes and bookshops.,私たちの町のメインストリートは魅力的なカフェや本屋さんでいっぱいだ。,What is the main ingredient in this rich Tuscan vegetable soup?,この濃厚なトスカーナ風野菜スープの主原料は何ですか？
454,die,454,★★★★★,verb,死ぬ,to stop living or end life,Don't forget to water these potted hydrangeas so they don't die.,枯れてしまわないようにこの鉢植えのアジサイに水をやるのを忘れないでね。,My phone battery is about to die; can I borrow your charging cable?,スマホの充電が切れそう（死にそう）なんだ、充電ケーブルを借りてもいい？,Her passion for baking homemade artisan bread will never die.,手作りの職人パンを焼き上げる彼女の情熱は決して衰えることはないだろう。
455,bear,455,★★★★★,verb,耐える、負う,to accept or endure difficulties,I can hardly bear the chilly winter wind without my warm wool scarf.,温かいウールマフラーなしでは冷たい冬の風に到底耐えられないよ。,These sturdy wooden shelves can bear the weight of heavy cookbooks.,この頑丈な木製棚なら重い料理本の重さにも軽々と耐えられるよ。,Please bear with me for just a moment while I locate my keys.,鍵を見つける間、ほんの少しの間だけお待ち（ご辛抱）いただけますか。
456,cut,456,★★★★★,verb,切る,to use a sharp tool or object to open or divide something,Could you help me cut these crisp carrots and celery for the stew?,シチュー用にシャキッとした人参とセロリを切るのを手伝ってくれる？,Let's cut the freshly baked strawberry tart into equal slices.,焼きたてのイチゴタルトを均等に切り分けようよ。,She decided to cut back on screen time and read more books in bed.,彼女はスマホの画面を見る時間を減らして、ベッドで読書を増やすことにした。
457,describe,457,★★★★★,verb,言い表す,"to tell someone the appearance, sound or smell of",Words cannot easily describe the breathtaking beauty of the sunrise.,日の出の息をのむような美しさは言葉では簡単には言い表せないよ。,Can you describe the flavor profile of this specialty coffee bean?,このスペシャルティコーヒー豆の風味の特徴を説明してくれる？,She used vivid colors to describe her seaside childhood memories.,彼女は海辺での幼少期の思い出を生き生きとした言葉で描写した。
458,himself,458,★★★★★,pronoun,彼自身,the reflexive form of the pronoun 'he',He baked this entire rustic sourdough loaf all by himself.,彼はこの素朴なサワードウパンをまるまる全部自分自身の手で焼いたんだ。,My brother taught himself how to play classical guitar by ear.,私の兄は耳コピでクラシックギターの弾き方を独学で身につけたよ。,He poured himself a steaming cup of tea and relaxed on the couch.,彼は自分用に湯気の立つお茶を注いでソファでくつろいだ。
459,available,459,★★★★★,adjective,利用できる,when something is there to be used easily,Is there an outdoor patio table available for lunch today?,今日のお昼にテラス席は空いています（利用可能ですか）？,Fresh organic strawberries are available at the farm stand all morning.,朝の間中、農園直売所で新鮮な有機イチゴが購入できるよ。,I will be available to help you with garden chores this Saturday.,今週の土曜日なら庭仕事のお手伝いができる（空いている）よ。
460,especially,460,★★★★★,adverb,特に,"more than usually;  very, extremely","I love relaxing weekend mornings, especially when it is sunny outside.",くつろげる週末の朝が大好きなんだ、外が晴れている時は特にね。,This hot ginger tea is especially comforting on cold winter nights.,この温かい生姜湯は寒い冬の夜にはとりわけ心がホッとするよ。,"She enjoys gardening, especially tending to sweet-smelling lavender.",彼女は園芸が好きで、特に甘い香りのラベンダーの世話を楽しんでいる。
461,strong,461,★★★★★,adjective,強い,having physical power or strength,I prefer a strong cup of dark roast coffee to start my morning.,朝のスタートには深煎りの濃い（強い）コーヒーを一杯飲むのが好きだな。,"A strong, chilly autumn wind blew the golden leaves across the lawn.",強く肌寒い秋の風が芝生いっぱいに黄金色の落ち葉を吹き飛ばした。,They share a remarkably strong and loving friendship after decades.,彼らは何十年経っても驚くほど固く（強い）愛情深い友情を育んでいる。
462,rise,462,★★★★★,verb,昇る,to move from a lower position to a higher one,We woke up early to watch the golden sun rise over the ocean.,海の上に昇る黄金色の朝日を眺めるために私たちは早起きした。,Give the bread dough at least an hour to rise in a warm spot.,暖かい場所でパン生地が膨らむ（発酵する）ように少なくとも1時間置こう。,Steam began to rise gently from the hot bowl of chicken noodle soup.,温かいチキンうどんスープの器から湯気がふわりと立ち上り始めた。
463,girl,463,★★★★★,noun,少女,"a female child,  a young woman",A smiling young girl was feeding breadcrumbs to the pond ducks.,笑顔の幼い女の子が池のカモたちにパンくずをあげていたよ。,"When she was a little girl, she loved climbing the garden apple tree.",小さな女の子だった頃、彼女は庭のリンゴの木に登るのが大好きだった。,The cheerful girl at the flower shop gave us two extra yellow roses.,お花屋さんの明るい店員の女の子が黄色いバラを2本おまけしてくれたよ。
464,maybe,464,★★★★★,adverb,～かもしれない,possibly but not certainly : perhaps,Maybe we can drive to the seaside for Sunday fish and chips.,日曜日は海辺までドライブしてフィッシュ・アンド・チップスを食べてもいいかもね。,"If you are feeling tired, maybe an early night is what you need.",もし疲れを感じているなら、おそらく早く寝ることが必要なのかもしれないよ。,Maybe tomorrow will be sunny enough to dry laundry on the balcony.,明日はベランダに洗濯物を干せるくらい十分に晴れるかもしれないね。
465,community,465,★★★★★,noun,社会,a group of people who share a common idea or area,Our local community gathered to plant spring flowers in the park.,地域のコミュニティが集まって公園に春の花々を植え付けたよ。,"There is a wonderful, supportive community spirit in our neighborhood.",私たちの近所には素晴らしい支え合いのコミュニティ精神が息づいている。,She volunteers weekly at the neighborhood community food pantry.,彼女は毎週地域のコミュニティのフードパントリーでボランティアをしている。
466,else,466,★★★★★,adjective,他の,in a different or additional manner or place,Is there anything else you need from the grocery store today?,今日スーパーで他に何か必要なものはありますか？,What else can we add to make this vegetable soup even more hearty?,この野菜スープをもっと具だくさんにするために他に何を足せるかな？,No one else bakes such delightfully soft and buttery cinnamon rolls.,こんなに美味しく柔らかくバター香るシナモンロールを焼ける人は他に誰もいないよ。
467,particular,467,★★★★★,adjective,特定の,used to single out an individual member,Is there any particular cafe you would love to visit this afternoon?,今日の午後に訪れてみたい特別なカフェはどこかある？,She is very particular about grinding fresh coffee beans every morning.,彼女は毎朝新鮮なコーヒー豆を挽くことにとてもこだわり（特別なこだわり）を持っている。,"I had no particular plans for Sunday, so I spent it reading in the garden.",日曜日は特にこれといった予定がなかったので、庭で読書をして過ごしたよ。
468,role,468,★★★★★,noun,役,the character played by an actor,A balanced nutritious diet plays a crucial role in overall wellness.,バランスのとれた栄養豊かな食事は日々の健康に極めて重要な役割を果たす。,Everyone in our family played a helpful role in spring cleaning the house.,家族のみんなが家の大掃除でそれぞれ役立つ役割を果たしたよ。,She took on the role of head organizer for the town flower festival.,彼女は町のフラワーフェスティバルのチーフ幹事の役を引き受けた。
469,join,469,★★★★★,verb,合わせる,to put or bring (two or more things) together,Would you like to join us for an afternoon stroll around the pond?,池の周りの午後の散歩に一緒に参加しない？,She decided to join the neighborhood community pottery club.,彼女は地域のコミュニティ陶芸サークルに参加することにした。,Come and join hands around the campfire to sing folk songs.,キャンプファイヤーの周りに集まって手を繋ぎフォークソングを歌おう。
470,difficult,470,★★★★★,adjective,難しい,not easy : requiring much work or skill to do or make,It was difficult to choose between the blueberry tart and chocolate cake.,ブルーベリータルトとチョコケーキのどちらを選ぶかとても難しかったよ。,Don't be discouraged by difficult recipes; take them step by step.,難しいレシピに気後れしないで、一歩ずつ丁寧に進めていこう。,Finding parking near the weekend market can be quite difficult.,週末市の近くで駐車場を見つけるのはかなり難しいことがあるね。
471,please,471,★★★★★,adverb,どうか,used to ask for something in a polite way,Could you please pass me the freshly grated parmesan cheese?,削りたての粉チーズを取ってくださいますか？,Please make yourself completely at home and relax on the couch.,どうぞご自宅のように完全にくつろいでソファで休んでね。,These homemade cinnamon cookies are sure to please all our guests.,この手作りシナモンクッキーはお客さん全員を必ずや喜ばせてくれるよ。
472,detail,472,★★★★★,noun,詳細,a small part of something,She noticed every intricate detail in the hand-woven Persian rug.,彼女は手織りのペルシャ絨毯の細やかな細部の一つ一つに気づいた。,Could you give me more detail about the route through the hills?,丘を通り抜けるルートについてもう少し詳しい詳細を教えてもらえる？,The recipe explained each baking step in clear and thorough detail.,そのレシピは焼き上げの各ステップを明快で丁寧な詳細さで説明していた。
473,difference,473,★★★★★,noun,違い,a quality that is unlike something else,Fresh homegrown herbs make a world of difference in pasta sauce.,自家栽培の新鮮なハーブはパスタソースに天と地ほどの違いをもたらすよ。,What is the main difference between green tea and roasted hojicha?,緑茶とほうじ茶の主な違いは何ですか？,A small kind word of encouragement can make a huge difference to someone.,温かい一言の励ましが誰かにとって大きな違いを生み出すことがあるね。
474,action,474,★★★★★,noun,行動,something that a person does,"Kind words are lovely, but caring action speaks much louder.",優しい言葉も素敵だが、思いやりのある行動はもっと雄弁に語るものだ。,Taking swift action helped us fix the dripping garden faucet easily.,素早い対応（行動）を取ったおかげで水が垂れる庭の蛇口を簡単に直せたよ。,"We enjoyed a thrilling, popcorn-munching action movie on Friday.",金曜日にポップコーンをつまみながらハラハラのアクション映画を楽しんだ。
475,health,475,★★★★★,noun,健康,the condition of being well or free from disease,Walking briskly every morning promotes excellent physical and mental health.,毎朝早歩きで歩くことは素晴らしい身体と精神の健康を育んでくれる。,"Wishing you good health, lasting happiness, and peace of mind.",あなたの健康と変わらぬ幸福、そして心の安らぎをお祈りしています。,Nutritious home-cooked meals are the foundation of vibrant health.,栄養たっぷりの家庭料理こそが活力ある健康の土台だね。
476,eat,476,★★★★★,verb,食べる,to take food into your mouth and swallow it,What would you like to eat for dinner on this chilly evening?,肌寒い今夜の夕飯には何が食べたいですか？,Let's sit outside on the patio and eat our fresh sandwiches.,テラスの外に座って新鮮なサンドイッチを食べようよ。,It's always wonderful to eat a home-cooked meal surrounded by family.,家族に囲まれて手作りの家庭料理を食べるのはいつだって最高だね。
477,step,477,★★★★★,verb,一歩歩む,moving by lifting  a foot and putting it down in a different place,Take things one small step at a time and you will achieve your goal.,一歩一歩少しずつ進めていけば、目標を達成できるよ。,Please watch your step when walking down the mossy garden stairs.,苔の生えた庭の階段を降りる時は足元に気をつけてね。,The next step in the bread recipe is to knead the dough gently.,パンのレシピの次のステップは、生地を優しくこねることだよ。
478,true,478,★★★★★,adjective,本当の,"agreeing with the facts, not false, real or actual",A true friend is someone who supports you through thick and thin.,真の友人はどんな時でもあなたを支えてくれる人のことだね。,It is true that fresh outdoor air can instantly clear your mind.,新鮮な外の空気が瞬時に心をすっきりさせてくれるというのは本当だよ。,May all your heartfelt hopes and dreams come true this year.,あなたの心からの希望や夢が今年すべて叶いますように。
479,phone,479,★★★★★,noun,電話,a communication system that is used to talk to someone who is in another place,I'll give you a quick phone call as soon as our train arrives.,私たちの電車が到着したらすぐに電話をかけるね。,"Could you hand me my phone from the kitchen counter, please?",キッチンのカウンターの上にある私のスマホを取ってくれる？,Let's put our phones away during dinner and enjoy conversation.,夕飯の間はスマホをしまって会話を楽しもうよ。
480,themselves,480,★★★★★,pronoun,彼ら自身,the reflexive form of the pronoun 'they',The children proudly built a miniature wooden birdhouse themselves.,子どもたちは自分たち自身の手で小さな木製の巣箱を誇らしげに作った。,They treated themselves to a relaxing weekend at a seaside spa.,彼らは海辺のスパでゆったりした週末を過ごして自分たちにご褒美をあげた。,People often surprise themselves with how much they can accomplish.,人は自分がどれほど多くのことを成し遂げられるかに自ら驚くことがよくある。
481,draw,481,★★★★★,verb,描く,to produce by making lines on a paper,She loves to sit in the garden and draw sketches of wildflowers.,彼女は庭に座って野花のスケッチを描くのが大好きだ。,Could you please draw the curtains to let the morning sunshine flood in?,朝の陽ざしがたっぷり差し込むようにカーテンを開けてくれる？,The scent of freshly baked cinnamon rolls will draw everyone to the kitchen.,焼きたてのシナモンロールの香りはみんなを台所へと引き寄せるよ。
482,white,482,★★★★★,adjective,白,"having the color of snow, to be light or pale in color",A fresh blanket of soft white snow covered the rooftops overnight.,夜の間に柔らかな白い新雪の毛布が屋根を覆っていたよ。,"We painted the sunny living room walls a warm, inviting antique white.",私たちは日当たりの良い居間の壁を温かみのあるアンティークホワイトに塗った。,She wore a light white linen shirt for our afternoon beach walk.,彼女は午後の砂浜の散歩に軽やかな白いリネンシャツを着ていた。
483,date,483,★★★★★,noun,日付,a particular day of a month or year,What is the date today? Is it already the fifteenth of May?,今日の日にちは何日だっけ？もう5月15日なの？,Let's set a date to visit the botanical gardens with our friends.,友人たちと植物園を訪れる日程（デート）を決めようよ。,We had a lovely romantic dinner date at our favorite Italian bistro.,私たちはお気に入りのイタリアンビストロで素敵なディナーデートをしたよ。
484,practice,484,★★★★★,noun,練習する,to do something again and again in order to become better at it,Consistent daily practice makes learning any language joyful and natural.,日々の地道な練習はどんな言語の学習も楽しく自然なものにしてくれるよ。,She goes to the piano studio every afternoon to practice classical sonatas.,彼女はクラシックのソナタを練習するために毎午後ピアノ工房に通っている。,"In practice, simple homemade meals are often the most satisfying.",実際には、素朴な家庭料理こそが最も満足感を与えてくれるものだね。
485,model,485,★★★★★,noun,模型,a usually small copy of something,He spent a relaxing Sunday building a wooden model sailboat.,彼は木製の帆船の模型を組み立てて心地よい日曜日を過ごした。,"Her calm, cheerful attitude is a model for handling busy days.",彼女の穏やかで朗らかな態度は忙しい日を乗り切るためのお手本だね。,This new energy-efficient refrigerator model saves so much power.,この新しい省エネ型冷蔵庫のモデルはとても電気代を節約してくれるよ。
486,raise,486,★★★★★,verb,上げる,to lift or move something to a higher position,They decided to raise free-range chickens in their sunny backyard.,彼らは日当たりの良い裏庭で放し飼いのニワトリを育てることにした。,Please raise your hand if you would like another cup of herbal tea.,ハーブティーをもう一杯お代わりしたい人は手を挙げてね。,Our neighborhood organized a charity bake sale to raise funds for the shelter.,地域で保護施設への資金を募る（集める）チャリティバザーを開催したよ。
487,customer,487,★★★★★,noun,顧客,someone who buys goods or services from a business,The friendly baker always greets every customer with a cheerful smile.,親切なパン屋さんはいつもすべてのお客さんを明るい笑顔で迎えてくれる。,She has been a loyal customer at that neighborhood tea shop for years.,彼女は何年もあの近所のお茶屋さんの常連顧客だよ。,"Providing warm, honest service is what keeps customers returning.",温かく誠実な接客を提供することこそがお客さんがリピートしてくれる秘訣だね。
488,front,488,★★★★★,noun,前,the forward part of an object,We planted bright red geraniums in flowerpots by the front door.,私たちは玄関ドアの脇の植木鉢に鮮やかな赤いゼラニウムを植えたよ。,Let's sit in the front row of the cinema to immerse ourselves in the film.,映画に没頭できるように映画館の前列の席に座ろうよ。,A friendly squirrel sat right in front of our garden porch.,人懐っこいリスが庭のポーチの真正面にちょこんと座っていたよ。
489,explain,489,★★★★★,verb,説明する,to make clear or easy to understand by describing,Could you explain how you made this delightfully creamy mushroom sauce?,このこの上なく濃厚なキノコソースの作り方を説明してくれる？,She took time to explain the rules of the new card game patiently.,彼女は根気強く新しいカードゲームのルールを丁寧に説明してくれた。,Let me explain the best walking route to reach the mountain overlook.,山の展望台に到着するための最高の散歩ルートを説明させてね。
490,door,490,★★★★★,noun,ドア,a movable entrance to a building or room,Please close the front door gently so it doesn't slam in the wind.,風でバタンと閉まらないように玄関ドアを静かに閉めてね。,There is a package sitting right outside our front door.,玄関ドアのすぐ外に小包が置かれているよ。,Keep an open door policy in our home for warm friends and family.,心温まる友人や家族のために我が家はいつでも歓迎の扉を開いておこうね。
491,outside,491,★★★★★,noun,外,an area around or near something such as a building,It is a lovely sunny morning; let's drink our tea outside on the patio.,とても気持ちの良い晴れた朝だよ、テラスの外でお茶を飲もう。,Put on a warm wool coat before stepping outside into the chilly breeze.,肌寒い風が吹く外に出る前に温かいウールの上着を着なさいね。,The children spent all afternoon playing happily outside in the garden.,子どもたちは午後中ずっと庭の外で楽しそうに遊んでいたよ。
492,behind,492,★★★★★,preposition,後ろに,in or toward the back,The playful kitten was hiding quietly behind the living room curtains.,やんちゃな子猫がリビングのカーテンの後ろに静かに隠れていたよ。,There is a charming hidden herb garden right behind the old brick cabin.,古いレンガ造りの山小屋のすぐ裏手に素敵な隠れ家ハーブ園があるよ。,Leave past worries behind and enjoy the present sunny day.,過去の悩みは後ろに置き去りにして、今日の晴れた日を楽しもうね。
493,economic,493,★★★★★,adjective,経済の,"relating to trade, industry, and money",Shopping at local farmers markets provides vital economic support to farms.,地元の朝市で買い物をすることは農家に不可欠な経済的支援をもたらす。,She reads newspapers daily to follow world economic developments.,彼女は世界の経済動向を把握するために毎日新聞を読んでいるよ。,Cooking nutritious meals at home is a very economic and healthy choice.,自宅で栄養満点の料理を作ることはとても経済的で健康的な選択だね。
494,site,494,★★★★★,noun,現場,"the place where something is, was, or will be located",We chose a scenic flat site near the stream to pitch our camping tent.,私たちはキャンプのテントを張るために小川の近くの景色の良い平らな敷地（サイト）を選んだ。,The ancient stone temple is designated as a famous historic site.,その古代の石造りの寺院は有名な歴史的遺跡（サイト）として指定されている。,She visited the library's website to reserve three popular cookbooks.,彼女は人気のある料理本を3冊予約するために図書館のウェブサイトにアクセスした。
495,approach,495,★★★★★,noun,近づく,to get close to reaching something or somewhere,A gentle and patient approach works wonders when learning new skills.,新しいスキルを身につける時は優しく根気強い取り組み方（アプローチ）が素晴らしい効果を発揮する。,We could hear the sound of the evening express train approach.,夕方の快速列車が近づいてくる（接近する）音が聞こえたよ。,She has a wonderfully positive and refreshing approach to daily life.,彼女は毎日の暮らしに対してとても前向きで爽やかな姿勢を持っているね。
496,teacher,496,★★★★★,noun,教師,"someone whose job is to teach in a school, college, etc.",My high school art teacher inspired me to pursue watercolors.,高校の美術の先生が私に水彩画を志すインスピレーションを与えてくれた。,"She is a patient, caring, and encouraging yoga teacher in our town.",彼女は私たちの町でとても忍耐強く思いやりがあり励ましてくれるヨガの先生だ。,Every mistake you make can be a helpful and wise teacher in life.,人が犯す失敗の一つ一つが人生における役立つ賢明な先生になり得るね。
497,land,497,★★★★★,noun,陸,the solid part of the surface of the Earth,They bought a small plot of fertile land to start an organic orchard.,彼らは有機果樹園を始めるために肥沃な小さな土地を購入した。,The evening flight made a smooth and gentle land at the airport.,夕方のフライトは空港にスムーズで静かに着陸（着地）したよ。,We stood at the cliff edge watching where the green land meets the sea.,私たちは緑の大地が海と交わる場所を崖の端に立って眺めていた。
498,charge,498,★★★★★,verb,請求する,to ask for money as a price for a service or goods,Don't forget to charge your smartphone battery before our road trip.,ドライブ旅行に出発する前にスマホの充電をするのを忘れないでね。,The local botanical garden does not charge any entrance fee on Sundays.,地域の植物園は日曜日には入場料を一切請求しない（無料）よ。,She took charge of preparing the delicious holiday feast for the family.,彼女は家族のための美味しい祝日のご馳走の支度の指揮をとった。
499,finally,499,★★★★★,adverb,最後に,after a long time or some difficulty;  the last point or idea,"The heavy winter snow finally melted, and spring buds arrived.",厳しい冬の雪がようやく解け、春の新芽がやってきたよ。,"After two hours in the kitchen, our homemade lasagna is finally ready.",台所で2時間奮闘した後、自家製ラザニアがついに出来上がったよ。,We finally reached the scenic hilltop overlook just as the sun set.,ちょうど夕日が沈む頃に、私たちはついに景色の良い丘の上の展望台に到達した。
500,sign,500,★★★★★,noun,しるし,"something which shows that something else exists, is true, or will happen",Blooming yellow daffodils in the garden are a sure sign of spring.,庭に咲く黄色い水仙は確実な春の兆し（サイン）だね。,Please sign your name on the greeting card for Grandma's birthday.,おばあちゃんの誕生日のグリーティングカードに名前をサインしてね。,We followed the wooden trail signs to reach the scenic mountain lake.,私たちは景色の良い山の湖にたどり着くために木製の遊歩道標識に従って歩いた。
501,claim,501,★★★★☆,noun,主張する,to say something is true when others may not agree,She claims that this little bakery has the best croissants in the city.,彼女はこの小さなパン屋さんが街で一番のクロワッサンを作ると主張しているよ。,Don't forget to claim your umbrella at the lost-and-found counter.,忘れ物センターの窓口で自分の傘を引き取るのを忘れないでね。,He made a claim that homemade soup cures any winter cold.,彼は手作りのスープがどんな冬の風邪も治すという持論を主張した。
502,relationship,502,★★★★☆,noun,関係,a connection between two or more people or things,"Good communication is essential for a healthy, lasting relationship.",良好なコミュニケーションは、健康的で長続きする関係に欠かせないよ。,"She has a wonderful, warm relationship with her grandmother.",彼女はおばあちゃんととても素敵で温かい関係を築いている。,Spending quality time cooking together really strengthened their relationship.,一緒に料理をする充実した時間を過ごすことで、2人の関係がぐっと深まった。
503,travel,503,★★★★☆,verb,旅する,to go on a trip or journey : to go to a place and especially one that is far away,We love to travel to coastal seaside towns whenever autumn arrives.,秋がやってくるたびに、私たちは海辺の町へ旅をするのが大好きだ。,Light packing makes it much easier to travel smoothly by train.,荷物を軽くすると電車での旅行がずっと快適でスムーズになるよ。,She dreams of taking a month-long travel break across Europe.,彼女はヨーロッパ中を1か月間気ままに旅する夢を見ている。
504,enjoy,504,★★★★☆,verb,楽しむ,to take pleasure in (something),I thoroughly enjoy sipping hot matcha latte on rainy afternoons.,雨の午後に温かい抹茶ラテをゆっくりすするのが何よりの楽しみだよ。,Did you enjoy the acoustic folk concert in the park yesterday?,昨日の公園でのアコースティック・フォークのコンサートは楽しめた？,"Please sit back, relax, and enjoy your fresh homemade meal.",どうぞ腰を落ち着けてリラックスし、出来立ての手料理を楽しんでね。
505,death,505,★★★★☆,noun,死,"the end of life, the fact of dying, being killed",The unexpected death of their old golden retriever made everyone cry.,飼っていた老ゴールデンレトリバーの突然の死は、みんなを泣かせた。,I was bored to death waiting in that endless supermarket checkout line.,スーパーの終わりのないレジ列で待たされて、退屈で死にそうだったよ。,Autumn brings the quiet death of summer blooms before winter rests.,秋は冬の休息の前に、夏の草花たちの静かな枯死をもたらす。
506,nice,506,★★★★☆,adjective,素晴らしい,giving pleasure or joy : good and enjoyable,It was so nice of our neighbor to share garden-fresh tomatoes.,家庭菜園の採れたてトマトをおすそ分けしてくれるなんて、隣人はとても親切だね。,"The weather is nice today, so let's have lunch out on the patio.",今日は天気がいいから、テラス席でお昼ご飯を食べよう。,You have a very nice collection of vintage coffee mugs.,とても素敵なビンテージのコーヒーマグのコレクションをお持ちですね。
507,amount,507,★★★★☆,noun,量,a quantity of something,Add a generous amount of grated parmesan cheese to the pasta.,パスタにたっぷりの量の粉チーズをすりおろして加えてね。,A small amount of cinnamon brings out the natural sweetness of apples.,ほんの少量のシナモンが、リンゴ本来の甘みを引き出してくれるよ。,We saved a surprising amount of money by cooking dinner at home.,家で自炊することで、驚くほどの金額のお金を節約できた。
508,improve,508,★★★★☆,verb,改善する,to make or to become something better,Practicing every day will quickly improve your piano playing skills.,毎日練習すれば、ピアノの演奏スキルはすぐに上達（改善）するよ。,Opening the balcony windows helped improve the airflow in the room.,ベランダの窓を開けたら、部屋の空気の流れが良くなった。,A splash of fresh lemon juice really improves the salad dressing.,絞りたてのレモン汁をひと垂らしすると、ドレッシングの味がぐっと良くなる。
509,picture,509,★★★★☆,noun,写真、絵,"a painting, drawing or photograph on paper or screen",Let's hang this colorful framed picture above the living room sofa.,このカラフルな額入りの絵をリビングのソファの上に飾ろうよ。,Can you take a picture of us in front of the blooming cherry blossoms?,満開の桜の前で私たちの写真を撮ってくれる？,Try to picture a cozy fireplace with soft jazz playing on a snowy day.,雪の日に心地よい暖炉と静かなジャズが流れている情景を思い浮かべてみて。
510,boy,510,★★★★☆,noun,男の子,"a male child or youth, a young man",The little boy laughed with joy when he chased bubbles in the park.,その小さな男の子は公園でシャボン玉を追いかけながら楽しそうに笑った。,That tall boy over there is our neighbor's nephew visiting for summer.,あそこにいる背の高い男の子は、夏休みに遊びに来ている隣人の甥っ子だよ。,"Boy, that spicy bowl of chili really warmed me up instantly!",いやあ（boy）、あのスパイシーなチリボウルで一瞬で体が温まったよ！
511,regard,511,★★★★☆,verb,顧慮する,to care or think about something in a specific way,I have always regarded home-cooked meals as the best comfort food.,手作りの料理こそ最高のソウルフードだと私は常にみなしている。,Please give my warmest regards to your parents when you visit them.,ご両親を訪ねる時は、どうか私からの温かいよろしくをお伝えください。,"With regard to tomorrow's picnic, shall we bring some extra blankets?",明日のピクニックに関してだけど、余分に毛布を持っていこうか？
512,organization,512,★★★★☆,noun,組織,an official group of people who work together for the same purpose,Her kitchen shelves show an impressive level of neat organization.,彼女のキッチンの棚は、見事なレベルのすっきりした整理整頓ぶりを見せている。,She volunteers weekly at a local animal rescue organization.,彼女は地元の動物保護組織（ボランティア団体）で毎週活動している。,"With a little organization, packing for our road trip will be painless.",少し段取りを整理すれば、ドライブ旅行の荷造りも楽勝だよ。
513,happy,513,★★★★☆,adjective,幸福な,feeling pleasure and enjoyment because of your life,Nothing makes me more happy than waking up to sunshine on Saturday.,土曜の朝に太陽の光で目覚めることほど幸せな気分にさせてくれるものはない。,We were so happy to welcome our old friends over for a Sunday roast.,日曜日のお肉料理に旧友たちを迎えることができて、とても嬉しかった。,The puppy wagged his tail and looked visibly happy with his new ball.,子犬は尻尾を振って、新しいボールをとても嬉しそうに喜んでいた。
